Gene A,Gene B
DNMT3B,SREBF2
DNMT3B,SMAD7
DNMT3B,POT1
DNMT3B,CCL24
DNMT3B,UHRF1
DNMT3B,CHRAC1
DNMT3B,RWDD3
DNMT3B,RASA1
DNMT3B,SOX10
DNMT3B,DNMT3L
DNMT3B,SCMH1
DNMT3B,PACSIN1
DNMT3B,SP1
DNMT3B,NDC1
DNMT3B,RFWD3
DNMT3B,PLEKHB1
DNMT3B,RAD51
DNMT3B,BCL11B
DNMT3B,MAP3K1
DNMT3B,CHRD
DNMT3B,HDAC1
DNMT3B,MIER1
DNMT3B,CHAF1A
DNMT3B,ZNF274
DNMT3B,POLE3
DNMT3B,ESR1
DNMT3B,SH3PXD2B
DNMT3B,LIMA1
DNMT3B,HIPK2
DNMT3B,DAXX
DNMT3B,NSD2
DNMT3B,MID1
DNMT3B,PHF1
DNMT3B,SETDB2
DNMT3B,KMT2B
DNMT3B,MAP3K11
DNMT3B,BRCA1
DNMT3B,UBA2
DNMT3B,NCAPH
DNMT3B,SND1
DNMT3B,CEP72
DNMT3B,DGCR8
DNMT3B,CXCL10
DNMT3B,NSD1
DNMT3B,SHH
DNMT3B,KMT2A
DNMT3B,MUM1
DNMT3B,MKI67
DNMT3B,XRCC4
DNMT3B,PRMT1
DNMT3B,SETDB1
DNMT3B,SMARCA4
DNMT3B,MTA2
DNMT3B,KMT2E
DNMT3B,RANBP2
DNMT3B,SETD2
DNMT3B,ZBTB16
DNMT3B,SUV39H1
DNMT3B,PRMT5
DNMT3B,ATF7IP
DNMT3B,PACSIN3
DNMT3B,MAPK8IP1
DNMT3B,MYC
DNMT3B,PIK3R1
DNMT3B,CBX2
DNMT3B,BCOR
DNMT3B,UBE2I
DNMT3B,FTSJ3
DNMT3B,CENPA
DNMT3B,BANP
DNMT3B,RCOR1
DNMT3B,MBD4
DNMT3B,PCGF2
DNMT3B,AURKA
DNMT3B,HDGF
DNMT3B,BAZ1B
DNMT3B,NSD3
DNMT3B,ING2
DNMT3B,MSH6
DNMT3B,BRPF1
DNMT3B,DOT1L
DNMT3B,PRDM1
DNMT3B,CRX
DNMT3B,PRMT2
DNMT3B,RNF4
DNMT3B,MAP3K9
DNMT3B,MECP2
DNMT3B,PML
DNMT3B,MBD3
DNMT3B,TRDMT1
DNMT3B,BAZ1A
DNMT3B,SMC2
DNMT3B,INCENP
DNMT3B,NHEJ1
DNMT3B,MITF
DNMT3B,SGO1
DNMT3B,KDM1A
DNMT3B,STAT3
DNMT3B,PIWIL2
DNMT3B,SKIL
DNMT3B,DNMT1
DNMT3B,E2F1
DNMT3B,BDNF
DNMT3B,SIN3B
DNMT3B,RECQL4
DNMT3B,SAP30
DNMT3B,RAD21
DNMT3B,PIWIL4
DNMT3B,NCAPD2
DNMT3B,MTA1
DNMT3B,XRCC6
DNMT3B,SOCS3
DNMT3B,STAC
DNMT3B,AGO3
DNMT3B,KDM4B
DNMT3B,ZBTB18
DNMT3B,KALRN
DNMT3B,NME6
DNMT3B,E2F6
DNMT3B,CCL2
DNMT3B,TRIM28
DNMT3B,HIF1A
DNMT3B,SORBS3
DNMT3B,SMARCD1
DNMT3B,JUN
DNMT3B,HELLS
DNMT3B,SETD1A
DNMT3B,CENPE
DNMT3B,FYN
DNMT3B,NCAPD3
DNMT3B,SET
DNMT3B,NTHL1
DNMT3B,HDAC3
DNMT3B,DIRAS3
DNMT3B,NCK2
DNMT3B,RRP8
DNMT3B,SETD1B
DNMT3B,TCF3
DNMT3B,MAP3K10
DNMT3B,ETV6
DNMT3B,EMSY
DNMT3B,TOP2A
DNMT3B,CBX8
DNMT3B,RB1
DNMT3B,NEB
DNMT3B,EPHB2
DNMT3B,SUDS3
DNMT3B,BIRC5
DNMT3B,CENPH
DNMT3B,ATF7IP2
DNMT3B,HDAC2
DNMT3B,ZNF331
DNMT3B,CBX4
DNMT3B,CTNNB1
DNMT3B,PSIP1
DNMT3B,PCNA
DNMT3B,HIST1H3A
DNMT3B,TARBP2
DNMT3B,NCOR2
DNMT3B,SORBS1
DNMT3B,SUZ12
DNMT3B,WAPL
DNMT3B,FOXP3
DNMT3B,TTK
DNMT3B,PPP1CB
DNMT3B,SUMO3
DNMT3B,SAE1
DNMT3B,WIZ
DNMT3B,ELK1
DNMT3B,CXXC1
DNMT3B,MBD1
DNMT3B,ZNF512B
DNMT3B,CBX1
DNMT3B,BMI1
DNMT3B,CBX5
DNMT3B,EHMT1
DNMT3B,THBD
DNMT3B,PRKCH
DNMT3B,ACLY
DNMT3B,CMTR2
DNMT3B,SP100
DNMT3B,RP2
DNMT3B,TDG
DNMT3B,HCLS1
DNMT3B,TRIM27
DNMT3B,CHD3
DNMT3B,RSF1
DNMT3B,CTCFL
DNMT3B,GATAD2A
DNMT3B,TGIF1
DNMT3B,TDRD1
DNMT3B,SMC3
DNMT3B,CENPB
DNMT3B,EZH2
DNMT3B,VAV3
DNMT3B,TGS1
DNMT3B,TGIF2
DNMT3B,NKX2-5
DNMT3B,ABL1
DNMT3B,PRRC2B
DNMT3B,AGO1
DNMT3B,CASP6
DNMT3B,MAF
DNMT3B,TGFB1
DNMT3B,AGO2
DNMT3B,HDAC9
DNMT3B,FRMD7
DNMT3B,HIST1H1E
DNMT3B,RANGAP1
DNMT3B,SATB1
DNMT3B,RLIM
DNMT3B,SPTAN1
DNMT3B,IGF2BP3
DNMT3B,CDC7
PLK1,RPS6KB1
NRCAM,OSMR
YY1,FOS
YY1,NFKB1
SAP18,NFKB1
SMAD2,FOS
SMAD2,NFKB1
SMAD2,PTPN2
TAL1,NFKB1
AKAP8,NFKB1
ZBTB17,KEAP1
SUMO1,FOS
SUMO1,NFKB1
SUMO1,PTPN2
SUMO1,RPS6KB1
DVL2,KEAP1
ROCK2,RPS6KB1
MDM2,FOS
MDM2,NFKB1
MDM2,RPS6KB1
AR,FOS
AR,NFKB1
AR,PTPN2
AR,RPS6KB1
AR,SH2B3
NPHP1,SH2B3
ASH2L,NFKB1
SMAD4,FOS
SMAD4,NFKB1
PIAS1,FOS
PIAS1,NFKB1
PIAS1,PTPN2
PIAS1,TYK2
MEF2A,FOS
PIAS2,NFKB1
NCK1,IL2RA
NCK1,PTPN2
NCK1,SH2B3
NCK1,TYK2
SUMO2,NFKB1
RBBP4,NFKB1
HDAC4,FOS
HDAC4,NFKB1
NPM1,NFKB1
NPM1,RPS6KB1
SIN3A,NFKB1
TP53,FOS
TP53,NFKB1
TP53,OSMR
TP53,RPS6KB1
TP53,TYK2
AKAP1,RPS6KB1
SREBF2,FOS
SMAD7,FOS
SMAD7,NFKB1
RASA1,FOS
RASA1,PTPN2
RASA1,SH2B3
RASA1,TYK2
SP1,FOS
SP1,NFKB1
MAP3K1,FOS
MAP3K1,NFKB1
MAP3K1,PTPN2
MAP3K1,RPS6KB1
HDAC1,FOS
HDAC1,NFKB1
HDAC1,PTPN2
HDAC1,TYK2
ESR1,FOS
ESR1,NFKB1
ESR1,PTPN2
SH3PXD2B,SH2B3
HIPK2,FOS
HIPK2,RPS6KB1
DAXX,NFKB1
NSD2,NFKB1
MID1,OSMR
MAP3K11,NFKB1
MAP3K11,RPS6KB1
BRCA1,FOS
BRCA1,NFKB1
BRCA1,PTPN2
BRCA1,RPS6KB1
BRCA1,TYK2
SND1,PTPN2
CXCL10,IFIH1
CXCL10,NFKB1
CXCL10,OSMR
NSD1,FOS
NSD1,NFKB1
SHH,NFKB1
SHH,OSMR
KMT2A,NFKB1
KMT2A,SH2B3
XRCC4,TYK2
PRMT1,TYK2
SMARCA4,NFKB1
MTA2,NFKB1
RANBP2,PTPN2
ZBTB16,FOS
ZBTB16,KEAP1
ZBTB16,NFKB1
SUV39H1,FOS
MAPK8IP1,RPS6KB1
MYC,FOS
MYC,NFKB1
MYC,RPS6KB1
PIK3R1,FOS
PIK3R1,NFKB1
PIK3R1,PTPN2
PIK3R1,SH2B3
PIK3R1,TYK2
BCOR,NFKB1
UBE2I,FOS
AURKA,RPS6KB1
ING2,FOS
ING2,NFKB1
PRDM1,FOS
PML,FOS
PML,NFKB1
MITF,FOS
STAT3,FOS
STAT3,IL23R
STAT3,NFKB1
STAT3,OSMR
STAT3,PTPN2
STAT3,RPS6KB1
STAT3,SH2B3
STAT3,TYK2
SKIL,FOS
SKIL,IL2RA
E2F1,FOS
E2F1,NFKB1
SIN3B,NFKB1
SAP30,NFKB1
MTA1,NFKB1
XRCC6,FOS
XRCC6,NFKB1
XRCC6,TYK2
SOCS3,FOS
SOCS3,KEAP1
SOCS3,OSMR
SOCS3,PTPN2
SOCS3,SH2B3
SOCS3,TYK2
CCL2,FOS
CCL2,IL23R
CCL2,NFKB1
CCL2,OSMR
CCL2,TYK2
TRIM28,NFKB1
HIF1A,FOS
HIF1A,NFKB1
HIF1A,PTPN2
HIF1A,RPS6KB1
HIF1A,SH2B3
HIF1A,TYK2
SMARCD1,NFKB1
JUN,FOS
JUN,NFKB1
JUN,OSMR
JUN,PTPN2
JUN,TYK2
FYN,NFKB1
FYN,PTPN2
FYN,RAVER1
FYN,RPS6KB1
FYN,SH2B3
FYN,TYK2
HDAC3,FOS
HDAC3,NFKB1
NCK2,PTPN2
NCK2,SH2B3
NCK2,TYK2
TCF3,FOS
TCF3,NFKB1
TOP2A,FOS
TOP2A,NFKB1
TOP2A,TYK2
RB1,FOS
RB1,NFKB1
EPHB2,FOS
EPHB2,PTPN2
HDAC2,FOS
HDAC2,NFKB1
CTNNB1,FOS
CTNNB1,NFKB1
CTNNB1,PTPN2
CTNNB1,TYK2
PCNA,FOS
PCNA,TYK2
TARBP2,OSMR
NCOR2,FOS
NCOR2,NFKB1
SORBS1,NFKB1
SORBS1,RAVER1
FOXP3,IL2RA
FOXP3,NFKB1
SUMO3,FOS
ELK1,FOS
ELK1,NFKB1
MBD1,FOS
MBD1,NFKB1
EHMT1,NFKB1
THBD,OSMR
THBD,SH2B3
SP100,OSMR
TDG,FOS
HCLS1,SH2B3
TRIM27,NFKB1
TGIF1,NFKB1
TDRD1,FOS
VAV3,PTPN2
VAV3,SH2B3
VAV3,TYK2
ABL1,FOS
ABL1,NFKB1
ABL1,PTPN2
ABL1,RPS6KB1
ABL1,SH2B3
ABL1,TYK2
CASP6,OSMR
MAF,FOS
TGFB1,NFKB1
TGFB1,OSMR
HDAC9,NFKB1
SATB1,IL27
SATB1,IL2RA
SATB1,NFKB1
IGF2BP3,RAVER1
FAP,COL3A1
FAP,ADA
FAP,ACOT6
FAP,SPOCK1
FAP,NID2
FAP,COL10A1
FAP,DPP4
FAP,RAB31
FAP,COL6A3
FAP,DPP8
FAP,THBS2
FAP,PDGFRB
FAP,FSTL1
FAP,SPARC
FAP,LUM
FAP,COL5A1
FAP,FAP
FAP,COL1A1
FAP,MXRA8
FAP,CTSK
FAP,POSTN
FAP,LOX
FAP,LGALS1
FAP,CDH11
FAP,AEBP1
FAP,DCN
FAP,FBN1
FAP,ST14
FAP,COL5A2
FAP,PPT1
FAP,ASPN
FAP,SULF1
FAP,SERPINF1
FAP,DPP9
FAP,VCAN
FAP,BGN
FAP,DPP10
FAP,LOXL1
FAP,HTRA1
FAP,MMP2
FAP,DPP6
FAP,COL1A2
FAP,COL11A1
FAP,THY1
COL3A1,OSMR
DPP4,NFKB1
PDGFRB,PTPN2
PDGFRB,SH2B3
PDGFRB,TYK2
SULF1,TYK2
FOS,BTRC
FOS,DST
FOS,MECOM
FOS,LGALS3
FOS,SKP1
FOS,PPARD
FOS,KAT2B
FOS,CAD
FOS,TRRAP
FOS,NFATC3
FOS,DUSP1
FOS,MBP
FOS,BAD
FOS,QRFP
FOS,CSF1R
FOS,E2F5
FOS,EID1
FOS,AHR
FOS,THRA
FOS,NCOA6
FOS,TAF1
FOS,KIAA1109
FOS,CEBPA
FOS,NCOA3
FOS,JUND
FOS,ETS1
FOS,NR4A2
FOS,CLU
FOS,HNRNPU
FOS,EIF4EBP1
FOS,EGR1
FOS,SPEN
FOS,SMARCB1
FOS,PGR
FOS,NCOR1
FOS,CREB1
FOS,PIN1
FOS,HMGA1
FOS,KAT5
FOS,KAT6B
FOS,ETS2
FOS,NFKB2
FOS,EGR3
FOS,PRKCZ
FOS,TNIK
FOS,VIM
FOS,STX1A
FOS,ZFP36
FOS,MAP2K2
FOS,ITGA2
FOS,RELB
FOS,RXRA
FOS,FOSL1
FOS,ERBIN
FOS,IKBKB
FOS,NBN
FOS,RARG
FOS,HNF4A
FOS,NFKBIE
FOS,SRC
FOS,FOS
FOS,RORA
FOS,TPM1
FOS,COPS3
FOS,NMU
FOS,TCF7L2
FOS,HDAC7
FOS,NFE2L3
FOS,APBA2
FOS,COPS5
FOS,MAPK3
FOS,SNCA
FOS,TAF4
FOS,USF2
FOS,NFE2L2
FOS,MYOD1
FOS,TGFBR2
FOS,TAF5
FOS,ADORA2A
FOS,SNAPC2
FOS,ISG15
FOS,TIMP1
FOS,TAF1A
FOS,ASCC3
FOS,TAF10
FOS,GFAP
FOS,PTK2
FOS,IRF2
FOS,TRIP6
FOS,TRIB3
FOS,TRO
FOS,TUBB
FOS,THRB
FOS,TREM1
FOS,ASCC2
FOS,ACTB
FOS,MAPK8
FOS,IRF1
FOS,MAPK9
FOS,PRKACA
FOS,NFATC2
FOS,PIAS4
FOS,TNF
FOS,RPS6KA3
FOS,APP
FOS,CCL7
FOS,CD3G
FOS,EEF1B2
FOS,CIITA
FOS,CDK2
FOS,PPP1R15A
FOS,KIF5C
FOS,ASCC1
FOS,BARX2
FOS,RUNX1
FOS,CREB5
FOS,HHEX
FOS,STAT6
FOS,CEBPE
FOS,ATP5A1
FOS,ELF2
FOS,PRKAA2
FOS,BCL9
FOS,ITCH
FOS,PPARA
FOS,DISC1
FOS,MEN1
FOS,MAPK14
FOS,TP53BP2
FOS,RGS19
FOS,TAF9
FOS,ARRB1
FOS,GSK3A
FOS,DAB2
FOS,GTF2A2
FOS,MAPK10
FOS,IER3
FOS,OPTN
FOS,TFE3
FOS,NEDD9
FOS,NFE2L1
FOS,EGR2
FOS,IL2RA
FOS,CITED1
FOS,ARRB2
FOS,SNW1
FOS,RUNX2
FOS,UBR5
FOS,MAPK6
FOS,BATF3
FOS,PSEN1
FOS,SMARCA2
FOS,TYK2
FOS,ATF2
FOS,PSMC5
FOS,FOXF2
FOS,FOXH1
FOS,NUP153
FOS,BTG2
FOS,SPI1
FOS,APLP2
FOS,IFNAR2
FOS,HNRNPR
FOS,PJA2
FOS,NOS1
FOS,SLC9A3R1
FOS,BCL6
FOS,A2M
FOS,LEF1
FOS,TCF7
FOS,PECAM1
FOS,CYLD
FOS,HSP90AA1
FOS,CSNK2B
FOS,CREBZF
FOS,PRKDC
FOS,GRIP1
FOS,CHUK
FOS,HMG20A
FOS,RUVBL2
FOS,TLE1
FOS,FHL2
FOS,SMAD1
FOS,APC
FOS,TP73
FOS,PPP2R2B
FOS,GTF2E2
FOS,PRKCD
FOS,TBP
FOS,ATF1
FOS,ELF4
FOS,SMAD3
FOS,RARB
FOS,KLF1
FOS,JDP2
FOS,MAFG
FOS,NCL
FOS,GTF2A1
FOS,TAF6
FOS,CITED2
FOS,CDKN1A
FOS,IL2RG
FOS,JAK1
FOS,MMP13
FOS,DSE
FOS,HNF1A
FOS,TAF13
FOS,AXIN2
FOS,TLR9
FOS,RAF1
FOS,NCOA2
FOS,FGF1
FOS,NFKBIA
FOS,IGF2
FOS,RPS6KA1
FOS,RPS6KA2
FOS,VDR
FOS,GATA4
FOS,IRF9
FOS,IKBKE
FOS,RPS6KA5
FOS,PSMC6
FOS,POU3F2
FOS,USP6
FOS,EGFR
FOS,ELAVL1
FOS,MAPK1
FOS,MAPK13
FOS,NFKB1
FOS,TSC2
FOS,TGFBR1
FOS,IRF3
FOS,RUVBL1
FOS,ATF3
FOS,RAC2
FOS,NTS
FOS,GTF2F1
FOS,FGF2
FOS,HSPA8
FOS,MEF2C
FOS,SMURF2
FOS,PTP4A1
FOS,GTF2B
FOS,HDAC5
FOS,PSMC1
FOS,HMG20B
FOS,TAF2
FOS,ACP5
FOS,AXIN1
FOS,CEBPD
FOS,XRCC1
FOS,MYB
FOS,NEK2
FOS,DBP
FOS,TOB1
FOS,CALCOCO1
FOS,OCIAD1
FOS,ACTR3
FOS,NFKBIB
FOS,BCL3
FOS,NR3C1
FOS,APLP1
FOS,NR1H2
FOS,ERBB2
FOS,FOXO3
FOS,IL18
FOS,PNP
FOS,PSEN2
FOS,ERCC3
FOS,CSNK2A2
FOS,CDH1
FOS,MAPK11
FOS,HSPA4
FOS,CEBPG
FOS,SUMO4
FOS,PTPN1
FOS,IL2RB
FOS,DLG4
FOS,IQGAP1
FOS,PTPN13
FOS,RARA
FOS,SRF
FOS,REL
FOS,IRF7
FOS,RUNX3
FOS,SDC2
FOS,CSNK2A1
FOS,ETV1
FOS,LCK
FOS,ING4
FOS,SMURF1
FOS,ILK
FOS,CREB3
FOS,MAFB
FOS,EDF1
FOS,TFF3
FOS,COPS7A
FOS,MAPK7
FOS,SKI
FOS,NCOA1
FOS,IFNB1
FOS,IL6
FOS,STAT2
FOS,C19orf57
FOS,EEF2K
FOS,EEF1D
FOS,RIT2
FOS,PARP1
FOS,JUNB
FOS,PPARG
FOS,CTBP1
FOS,FOSL2
FOS,SMAD6
FOS,SMARCE1
FOS,DDX5
FOS,JUP
FOS,VRK1
FOS,KAT6A
FOS,PSMC2
FOS,EP300
FOS,TAF12
FOS,SREBF1
FOS,SLC33A1
FOS,STAT5A
FOS,ESR2
FOS,CREBBP
FOS,PDPK1
FOS,TAF7
FOS,DDX21
FOS,CEBPB
FOS,HSPH1
FOS,FOSB
FOS,IL2
FOS,SOX9
FOS,ATF7
FOS,GBP1
FOS,BATF
FOS,MAPK12
FOS,STUB1
FOS,ATF5
FOS,EP400
FOS,IER2
FOS,NR4A1
FOS,IFNGR1
FOS,TAF3
FOS,TAF11
FOS,ATF4
FOS,STAT1
FOS,NFYB
FOS,CUL1
FOS,XRCC5
FOS,FBLN1
FOS,PTEN
FOS,BCL2
FOS,TAF4B
FOS,NOS2
FOS,STAT5B
FOS,CYR61
FOS,NKX2-1
FOS,GSK3B
FOS,DDIT3
FOS,SIRT1
BTRC,NFKB1
SKP1,NFKB1
PPARD,NFKB1
KAT2B,NFKB1
CAD,NFKB1
NFATC3,NFKB1
NFATC3,OSMR
DUSP1,PTPN2
DUSP1,RPS6KB1
CSF1R,SH2B3
CSF1R,TYK2
AHR,NFKB1
THRA,NFKB1
NCOA6,NFKB1
CEBPA,NFKB1
CEBPA,TYK2
NCOA3,NFKB1
JUND,NFKB1
ETS1,SH2B3
HNRNPU,NFKB1
EIF4EBP1,RPS6KB1
EGR1,NFKB1
EGR1,SH2B3
SPEN,NFKB1
PGR,NFKB1
NCOR1,NFKB1
CREB1,NFKB1
PIN1,RPS6KB1
HMGA1,NFKB1
HMGA1,RPS6KB1
KAT5,NFKB1
NFKB2,NFKB1
NFKB2,TYK2
PRKCZ,NFKB1
PRKCZ,RPS6KB1
VIM,NFKB1
MAP2K2,RPS6KB1
ITGA2,OSMR
RELB,KEAP1
RELB,NFKB1
RXRA,NFKB1
IKBKB,KEAP1
IKBKB,NFKB1
IKBKB,PTPN2
IKBKB,RPS6KB1
RARG,NFKB1
HNF4A,NFKB1
NFKBIE,NFKB1
SRC,NFKB1
SRC,PTPN2
SRC,RPS6KB1
SRC,SH2B3
SRC,TYK2
TCF7L2,NFKB1
HDAC7,NFKB1
