,MOTIF ID,Frequency,Interval,z score,p - value,lowerLimit,upperLimit,Statistical Significance
166,6618,77,120.0+-15.2,-2.82,1.0,104.8,135.2,['ANTI-MOTIF']
167,6620,1796,1763.7+-114.8,0.28,0.385,1648.9,1878.5,['NA']
168,6622,123,87.8+-17.4,2.02,0.035,70.4,105.19999999999999,['MOTIF']
169,6854,5,13.6+-6.1,-1.4,0.975,7.5,19.7,['ANTI-MOTIF']
170,6858,88,68.9+-13.0,1.46,0.105,55.900000000000006,81.9,['MOTIF']
171,6862,46,27.5+-9.5,1.95,0.045,18.0,37.0,['MOTIF']
172,6870,20,22.4+-7.0,-0.34,0.625,15.399999999999999,29.4,['NA']
173,6874,75,83.5+-12.9,-0.66,0.76,70.6,96.4,['NA']
174,6876,47,51.0+-10.6,-0.38,0.65,40.4,61.6,['NA']
175,6878,77,56.9+-9.2,2.18,0.03,47.7,66.1,['MOTIF']
176,7126,46,31.9+-8.3,1.71,0.055,23.599999999999998,40.2,['MOTIF']
177,7128,73,40.0+-11.6,2.85,0.01,28.4,51.6,['MOTIF']
178,7130,99,112.6+-17.6,-0.77,0.76,95.0,130.2,['NA']
179,7134,98,72.7+-12.0,2.11,0.015,60.7,84.7,['MOTIF']
180,13142,1019,1045.6+-73.8,-0.36,0.63,971.8,1119.3999999999999,['NA']
181,13146,76,49.7+-12.4,2.12,0.04,37.300000000000004,62.1,['MOTIF']
182,13148,26,45.9+-9.6,-2.08,0.995,36.3,55.5,['ANTI-MOTIF']
183,13150,72,109.0+-13.4,-2.75,1.0,95.6,122.4,['ANTI-MOTIF']
184,13260,0,4.0+-2.7,-1.47,1.0,1.2999999999999998,6.7,['ANTI-MOTIF']
185,13262,10,24.2+-7.6,-1.87,0.99,16.6,31.799999999999997,['ANTI-MOTIF']
186,13278,21,33.3+-8.7,-1.42,0.945,24.599999999999998,42.0,['ANTI-MOTIF']
187,14678,22,47.0+-10.4,-2.4,1.0,36.6,57.4,['ANTI-MOTIF']
188,14686,10,10.5+-4.4,-0.12,0.585,6.1,14.9,['NA']
189,14790,3,4.3+-2.6,-0.48,0.705,1.6999999999999997,6.9,['NA']
190,14798,56,36.1+-9.2,2.17,0.02,26.900000000000002,45.3,['MOTIF']
191,14810,62,66.1+-13.9,-0.29,0.65,52.199999999999996,80.0,['NA']
192,14812,89,73.5+-13.8,1.13,0.145,59.7,87.3,['MOTIF']
193,14814,86,78.2+-12.1,0.64,0.255,66.10000000000001,90.3,['NA']
194,15258,877,684.6+-64.6,2.98,0.0,620.0,749.2,['MOTIF']
195,15262,123,99.1+-13.0,1.84,0.045,86.1,112.1,['MOTIF']
196,15310,35,39.0+-11.9,-0.34,0.61,27.1,50.9,['NA']
197,15326,114,94.7+-10.4,1.86,0.02,84.3,105.10000000000001,['MOTIF']
198,31710,27,18.8+-3.9,2.09,0.025,14.9,22.7,['MOTIF']
