,MOTIF ID,Frequency,Interval,z score,p - value,lowerLimit,upperLimit,Statistical Significance
124,4994,257,274.1+-65.2,-0.26,0.65,208.90000000000003,339.3,['NA']
125,4998,18,10.7+-5.1,1.42,0.095,5.6,15.799999999999999,['MOTIF']
126,5002,119,175.1+-33.1,-1.7,0.96,142.0,208.2,['ANTI-MOTIF']
127,5004,5,21.2+-7.2,-2.27,0.995,14.0,28.4,['ANTI-MOTIF']
128,5006,3,8.4+-4.0,-1.37,0.97,4.4,12.4,['ANTI-MOTIF']
129,5010,1147,1211.3+-133.6,-0.48,0.65,1077.7,1344.8999999999999,['NA']
130,5012,101,73.9+-14.8,1.83,0.04,59.10000000000001,88.7,['MOTIF']
131,5014,107,62.8+-12.7,3.49,0.0,50.099999999999994,75.5,['MOTIF']
132,5016,1168,1113.8+-88.9,0.61,0.24,1024.8999999999999,1202.7,['NA']
133,5018,807,776.2+-80.8,0.38,0.33,695.4000000000001,857.0,['NA']
134,5020,24,55.8+-14.1,-2.26,0.995,41.699999999999996,69.89999999999999,['ANTI-MOTIF']
135,5022,25,37.8+-9.8,-1.31,0.935,27.999999999999996,47.599999999999994,['ANTI-MOTIF']
136,5058,7,10.8+-4.6,-0.83,0.835,6.200000000000001,15.4,['NA']
137,5062,8,9.1+-4.2,-0.26,0.64,4.8999999999999995,13.3,['NA']
138,5064,2,7.9+-4.0,-1.49,0.985,3.9000000000000004,11.9,['ANTI-MOTIF']
139,5066,0,7.7+-3.5,-2.21,1.0,4.2,11.2,['ANTI-MOTIF']
140,5068,0,15.3+-6.7,-2.29,1.0,8.600000000000001,22.0,['ANTI-MOTIF']
141,5070,1,6.5+-3.1,-1.77,1.0,3.4,9.6,['ANTI-MOTIF']
142,5074,8,53.5+-12.1,-3.77,1.0,41.4,65.6,['ANTI-MOTIF']
143,5076,61,58.2+-11.3,0.25,0.4,46.900000000000006,69.5,['NA']
144,5078,34,49.7+-12.4,-1.27,0.93,37.300000000000004,62.1,['ANTI-MOTIF']
145,5080,49,58.4+-13.2,-0.71,0.745,45.2,71.6,['NA']
146,5082,16,39.9+-10.1,-2.37,0.99,29.799999999999997,50.0,['ANTI-MOTIF']
147,5084,6,40.0+-11.7,-2.9,1.0,28.3,51.7,['ANTI-MOTIF']
148,5086,21,24.5+-8.5,-0.42,0.64,16.0,33.0,['NA']
149,6342,10,10.6+-5.2,-0.12,0.54,5.3999999999999995,15.8,['NA']
150,6348,827,960.6+-112.1,-1.19,0.91,848.5,1072.7,['ANTI-MOTIF']
151,6350,52,41.0+-9.4,1.17,0.145,31.6,50.4,['MOTIF']
152,6356,81,71.3+-25.8,0.38,0.345,45.5,97.1,['NA']
153,6358,4,5.6+-3.4,-0.46,0.685,2.1999999999999997,9.0,['NA']
154,6364,732,895.4+-75.6,-2.16,0.975,819.8,971.0,['ANTI-MOTIF']
155,6366,47,24.7+-7.9,2.83,0.0,16.799999999999997,32.6,['MOTIF']
156,6550,18,24.9+-8.0,-0.87,0.8,16.9,32.9,['NA']
157,6552,20453,19366.9+-466.2,2.33,0.01,18900.7,19833.100000000002,['MOTIF']
158,6554,2943,3478.8+-203.9,-2.63,0.995,3274.9,3682.7000000000003,['ANTI-MOTIF']
159,6558,34,100.3+-18.5,-3.59,1.0,81.8,118.8,['ANTI-MOTIF']
160,6598,4,6.2+-3.5,-0.64,0.775,2.7,9.7,['NA']
161,6602,24,43.9+-12.5,-1.59,0.97,31.4,56.4,['ANTI-MOTIF']
162,6604,401,616.9+-78.3,-2.76,1.0,538.6,695.1999999999999,['ANTI-MOTIF']
163,6606,8,21.6+-7.3,-1.87,0.99,14.3,28.900000000000002,['ANTI-MOTIF']
164,6614,46,35.9+-8.8,1.15,0.15,27.099999999999998,44.7,['MOTIF']
165,6616,2351,2208.1+-105.6,1.35,0.11,2102.5,2313.7,['MOTIF']
166,6618,76,147.0+-18.6,-3.82,1.0,128.4,165.6,['ANTI-MOTIF']
167,6620,2796,2630.1+-132.0,1.26,0.115,2498.1,2762.1,['MOTIF']
168,6622,127,105.6+-19.8,1.08,0.135,85.8,125.39999999999999,['MOTIF']
169,6854,6,3.2+-2.4,1.17,0.155,0.8000000000000003,5.6,['MOTIF']
170,6858,56,45.8+-11.2,0.91,0.205,34.599999999999994,57.0,['NA']
171,6862,36,12.2+-4.8,4.94,0.0,7.3999999999999995,17.0,['MOTIF']
172,6870,4,3.7+-2.5,0.14,0.485,1.2000000000000002,6.2,['NA']
173,6874,32,37.5+-8.2,-0.67,0.76,29.3,45.7,['NA']
174,6876,6,30.5+-10.0,-2.45,1.0,20.5,40.5,['ANTI-MOTIF']
175,6878,20,15.2+-5.7,0.84,0.235,9.5,20.9,['NA']
176,7126,14,12.5+-5.3,0.29,0.39,7.2,17.8,['NA']
177,7128,89,43.4+-10.9,4.19,0.0,32.5,54.3,['MOTIF']
178,7130,43,85.3+-14.6,-2.89,1.0,70.7,99.89999999999999,['ANTI-MOTIF']
179,7134,83,28.2+-8.1,6.73,0.0,20.1,36.3,['MOTIF']
180,13142,1780,1457.2+-101.6,3.18,0.0,1355.6000000000001,1558.8,['MOTIF']
181,13146,111,124.2+-22.3,-0.59,0.745,101.9,146.5,['NA']
182,13148,6,37.8+-11.9,-2.68,1.0,25.9,49.699999999999996,['ANTI-MOTIF']
183,13150,73,152.0+-16.8,-4.71,1.0,135.2,168.8,['ANTI-MOTIF']
184,13260,0,1.4+-1.9,-0.76,1.0,-0.5,3.3,['NA']
185,13262,1,12.4+-6.7,-1.7,1.0,5.7,19.1,['ANTI-MOTIF']
186,13278,12,33.0+-9.5,-2.22,1.0,23.5,42.5,['ANTI-MOTIF']
187,14678,31,34.6+-10.0,-0.36,0.625,24.6,44.6,['NA']
188,14686,6,7.7+-5.1,-0.34,0.635,2.6000000000000005,12.8,['NA']
189,14790,0,0.9+-1.2,-0.74,1.0,-0.29999999999999993,2.1,['NA']
190,14798,14,20.6+-7.5,-0.88,0.825,13.100000000000001,28.1,['NA']
191,14810,76,88.3+-15.2,-0.81,0.795,73.1,103.5,['NA']
192,14812,135,127.9+-18.1,0.39,0.355,109.80000000000001,146.0,['NA']
193,14814,90,73.2+-12.1,1.38,0.095,61.1,85.3,['MOTIF']
194,15258,2185,1774.3+-89.9,4.57,0.0,1684.3999999999999,1864.2,['MOTIF']
195,15262,194,215.0+-22.6,-0.93,0.845,192.4,237.6,['NA']
196,15310,11,31.1+-9.5,-2.13,0.99,21.6,40.6,['ANTI-MOTIF']
197,15326,210,154.6+-12.1,4.56,0.0,142.5,166.7,['MOTIF']
198,31710,86,56.6+-6.9,4.25,0.0,49.7,63.5,['MOTIF']
