Interactor A Gene Symbol,Interactor B Gene Symbol,Interactor A Uniprot AC,Interactor B Uniprot AC,Database,,,,
CXCR2,CHRM2,P25025,P08172,IID,,,,
CXCR2,VASP,P25025,P50552,IID,,,,
CXCR2,PRAM1,P25025,Q96QH2,IID,,,,
CXCR2,RXFP3,P25025,Q9NSD7,IID,,,,
CXCR2,PPP2R1A,P25025,P30153,IID,,,,
CXCR2,S1PR4,P25025,O95977,IID,,,,
CXCR2,MAS1,P25025,P04201,IID,,,,
CXCR2,P2RY1,P25025,P47900,IID,,,,
CXCR2,STXBP2,P25025,Q15833,IID,,,,
CXCR2,CXCL6,P25025,P80162,IID,,,,
CXCR2,CXCL5,P25025,P42830,IID,,,,
CXCR2,NCF2,P25025,P19878,IID,,,,
CXCR2,MSN,P25025,P26038,IID,,,,
CXCR2,S1PR2,P25025,O95136,IID,,,,
CXCR2,RAB11FIP2,P25025,Q7L804,IID,,,,
CXCR2,ARPC3,P25025,O15145,IID,,,,
CXCR2,IL4,P25025,P05112,IID,,,,
CXCR2,FCMR,P25025,O60667,IID,,,,
CXCR2,ADAM10,P25025,O14672,IID,,,,
CXCR2,GTF3A,P25025,Q92664,IID,,,,
CXCR2,PF4,P25025,P02776,IID,,,,
CXCR2,DNAH5,P25025,Q8TE73,IID,,,,
CXCR2,HRH1,P25025,P35367,IID,,,,
CXCR2,NIPSNAP1,P25025,Q9BPW8,IID,,,,
CXCR2,AVPR1A,P25025,P37288,IID,,,,
CXCR2,PICK1,P25025,Q9NRD5,IID,,,,
CXCR2,CMTM7,P25025,Q96FZ5,IID,,,,
CXCR2,CCL3L1,P25025,P16619,IID,,,,
CXCR2,HTR2A,P25025,P28223,IID,,,,
CXCR2,P2RY2,P25025,P41231,IID,,,,
CXCR2,GNAI2,P25025,P04899,IID,,,,
CXCR2,RGS12,P25025,O14924,IID,,,,
CXCR2,CCKAR,P25025,P32238,IID,,,,
CXCR2,DRD1,P25025,P21728,IID,,,,
CXCR2,CXCL2,P25025,P19875,IID,,,,
CXCR2,LPAR2,P25025,Q9HBW0,IID,,,,
CXCR2,RELA,P25025,Q04206,IID,,,,
CXCR2,EDNRB,P25025,P24530,IID,,,,
CXCR2,GNA15,P25025,P30679,IID,,,,
CXCR2,GPR55,P25025,Q9Y2T6,IID,,,,
CXCR2,CNR2,P25025,P34972,IID,,,,
CXCR2,ACKR4,P25025,Q9NPB9,IID,,,,
CXCR2,CCR9,P25025,P51686,IID,,,,
CXCR2,MC5R,P25025,P33032,IID,,,,
CXCR2,ST13,P25025,P50502,IID,,,,
CXCR2,AGTR1,P25025,P30556,IID,,,,
CXCR2,XCR1,P25025,P46094,IID,,,,
CXCR2,CCL13,P25025,Q99616,IID,,,,
CXCR2,ACKR2,P25025,O00590,IID,,,,
CXCR2,PTAFR,P25025,P25105,IID,,,,
CXCR2,FPR3,P25025,P25089,IID,,,,
CXCR2,SIGLEC1,P25025,Q9BZZ2,IID,,,,
CXCR2,SYK,P25025,P43405,IID,,,,
CXCR2,CXCR4,P25025,P61073,IID,,,,
CXCR2,MMP9,P25025,P14780,IID,,,,
CXCR2,C5AR2,P25025,Q9P296,IID,,,,
CXCR2,DRD5,P25025,P21918,IID,,,,
CXCR2,PPBP,P25025,P02775,IID,,,,
CXCR2,CD300C,P25025,Q08708,IID,,,,
CXCR2,SDC1,P25025,P18827,IID,,,,
CXCR2,CXCL1,P25025,P09341,IID,,,,
CXCR2,LBP,P25025,P18428,IID,,,,
CXCR2,FPR2,P25025,P25090,IID,,,,
CXCR2,ITGA1,P25025,P56199,IID,,,,
CXCR2,TRAT1,P25025,Q6PIZ9,IID,,,,
CXCR2,CXCL8,P25025,P10145,IID,,,,
CXCR2,FCGR3B,P25025,O75015,IID,,,,
CXCR2,ADRA1A,P25025,P35348,IID,,,,
CXCR2,ACKR1,P25025,Q16570,IID,,,,
CXCR2,CD3E,P25025,P07766,IID,,,,
CXCR2,NCR2,P25025,O95944,IID,,,,
CXCR2,C3AR1,P25025,Q16581,IID,,,,
CXCR2,AVPR1B,P25025,P47901,IID,,,,
CXCR2,YWHAG,P25025,P61981,IID,,,,
CXCR2,CMKLR1,P25025,Q99788,IID,,,,
CXCR2,MNDA,P25025,P41218,IID,,,,
CXCR2,TIGIT,P25025,Q495A1,IID,,,,
CXCR2,CCR3,P25025,P51677,IID,,,,
CXCR2,CXCL3,P25025,P19876,IID,,,,
CXCR2,DRD2,P25025,P14416,IID,,,,
CXCR2,MPP4,P25025,Q96JB8,IID,,,,
CXCR2,CD48,P25025,P09326,IID,,,,
CXCR2,C3,P25025,P01024,IID,,,,
CXCR2,ARRB1,P25025,P49407,IID,,,,
