Interactor A Gene Symbol,Interactor B Gene Symbol,Interactor A Uniprot AC,Interactor B Uniprot AC,Database,,,,
FOS,ATF1,P01100,P18846,IID,,,,
FOS,ELF4,P01100,Q99607,IID,,,,
FOS,SMAD3,P01100,P84022,IID,,,,
FOS,RARB,P01100,P10826,IID,,,,
FOS,KLF1,P01100,Q13351,IID,,,,
FOS,SUMO3,P01100,P55854,IID,,,,
FOS,JDP2,P01100,Q8WYK2,IID,,,,
FOS,MAFG,P01100,O15525,IID,,,,
FOS,NPIPA1,P01100,Q9UND3,IID,,,,
FOS,TPR,P01100,P12270,IID,,,,
FOS,RFWD2,P01100,#N/A,IID,,,,
FOS,NCL,P01100,P19338,IID,,,,
FOS,GTF2A1,P01100,P52655,IID,,,,
FOS,NACA,P01100,E9PAV3,IID,,,,
FOS,TAF6,P01100,P49848,IID,,,,
FOS,CITED2,P01100,Q99967,IID,,,,
FOS,CDKN1A,P01100,P38936,IID,,,,
FOS,IL2RG,P01100,P31785,IID,,,,
FOS,JAK1,P01100,P23458,IID,,,,
FOS,MMP13,P01100,P45452,IID,,,,
FOS,DSE,P01100,Q9UL01,IID,,,,
FOS,AGTPBP1,P01100,Q9UPW5,IID,,,,
FOS,HNF1A,P01100,P20823,IID,,,,
FOS,TAF13,P01100,Q15543,IID,,,,
FOS,STK40,P01100,Q8N2I9,IID,,,,
FOS,ING2,P01100,Q9H160,IID,,,,
FOS,AXIN2,P01100,Q9Y2T1,IID,,,,
FOS,DES,P01100,P17661,IID,,,,
FOS,TLR9,P01100,Q9NR96,IID,,,,
FOS,RAF1,P01100,P04049,IID,,,,
FOS,NCOA2,P01100,Q15596,IID,,,,
FOS,FGF1,P01100,P05230,IID,,,,
FOS,ZNF133,P01100,P52736,IID,,,,
FOS,NFKBIA,P01100,P25963,IID,,,,
FOS,IGF2,P01100,P01344,IID,,,,
FOS,NEFM,P01100,P07197,IID,,,,
FOS,RPS6KA1,P01100,Q15418,IID,,,,
FOS,RPS6KA2,P01100,Q15349,IID,,,,
FOS,VDR,P01100,P11473,IID,,,,
FOS,GATA4,P01100,P43694,IID,,,,
FOS,IRF9,P01100,Q00978,IID,,,,
FOS,IKBKE,P01100,Q14164,IID,,,,
FOS,SMAD7,P01100,O15105,IID,,,,
FOS,RPS6KA5,P01100,O75582,IID,,,,
FOS,PSMC6,P01100,P62333,IID,,,,
FOS,PRDM1,P01100,O75626,IID,,,,
FOS,CTNNB1,P01100,P35222,IID,,,,
FOS,POU3F2,P01100,P20265,IID,,,,
FOS,USP6,P01100,P35125,IID,,,,
FOS,MBD1,P01100,Q9UIS9,IID,,,,
FOS,EGFR,P01100,P00533,IID,,,,
FOS,ELF1,P01100,P32519,IID,,,,
FOS,ELAVL1,P01100,Q15717,IID,,,,
FOS,EXOSC10,P01100,Q01780,IID,,,,
FOS,MAPK1,P01100,P28482,IID,,,,
FOS,LMNA,P01100,P02545,IID,,,,
FOS,MAPK13,P01100,O15264,IID,,,,
FOS,NFKB1,P01100,P19838,IID,,,,
FOS,RNF20,P01100,Q5VTR2,IID,,,,
FOS,HIF1A,P01100,Q16665,IID,,,,
FOS,TSC2,P01100,P49815,IID,,,,
FOS,MTMR1,P01100,Q13613,IID,,,,
FOS,ANP32E,P01100,Q9BTT0,IID,,,,
FOS,PFDN5,P01100,Q99471,IID,,,,
FOS,TGFBR1,P01100,P36897,IID,,,,
FOS,IRF3,P01100,Q14653,IID,,,,
FOS,IDS,P01100,P22304,IID,,,,
FOS,RUVBL1,P01100,Q9Y265,IID,,,,
FOS,ATF3,P01100,P18847,IID,,,,
FOS,RAC2,P01100,P15153,IID,,,,
FOS,SMAD2,P01100,Q15796,IID,,,,
FOS,NTS,P01100,P30990,IID,,,,
FOS,SUMO2,P01100,P61956,IID,,,,
FOS,GTF2F1,P01100,P35269,IID,,,,
FOS,FGF2,P01100,P09038,IID,,,,
FOS,HSPA8,P01100,P11142,IID,,,,
FOS,TFF1,P01100,P04155,IID,,,,
FOS,MEF2C,P01100,Q06413,IID,,,,
FOS,BMPR1A,P01100,P36894,IID,,,,
FOS,TCF3,P01100,P15923,IID,,,,
FOS,SMURF2,P01100,Q9HAU4,IID,,,,
FOS,DNMT3L,P01100,Q9UJW3,IID,,,,
FOS,PTP4A1,P01100,Q93096,IID,,,,
FOS,CCDC158,P01100,Q5M9N0,IID,,,,
FOS,GTF2B,P01100,Q00403,IID,,,,
FOS,FAM20C,P01100,Q8IXL6,IID,,,,
FOS,HDAC5,P01100,Q9UQL6,IID,,,,
FOS,PSMC1,P01100,P62191,IID,,,,
FOS,HMG20B,P01100,Q9P0W2,IID,,,,
FOS,TAF2,P01100,Q6P1X5,IID,,,,
FOS,HOXD13,P01100,P35453,IID,,,,
FOS,ACP5,P01100,P13686,IID,,,,
FOS,AXIN1,P01100,O15169,IID,,,,
FOS,CEBPD,P01100,P49716,IID,,,,
FOS,XRCC1,P01100,P18887,IID,,,,
FOS,SUMO1,P01100,P63165,IID,,,,
FOS,ANKHD1,P01100,Q8IWZ3,IID,,,,
FOS,HTR2A,P01100,P28223,IID,,,,
FOS,MYB,P01100,P10242,IID,,,,
FOS,NEK2,P01100,P51955,IID,,,,
FOS,DBP,P01100,Q10586,IID,,,,
FOS,AQP1,P01100,P29972,IID,,,,
FOS,ANKRD17,P01100,O75179,IID,,,,
FOS,TOB1,P01100,P50616,IID,,,,
FOS,CALCOCO1,P01100,Q9P1Z2,IID,,,,
FOS,ZFP91,P01100,Q96JP5,IID,,,,
FOS,KDM2A,P01100,Q9Y2K7,IID,,,,
FOS,OCIAD1,P01100,Q9NX40,IID,,,,
FOS,HSPA1B,P01100,P0DMV9,IID,,,,
FOS,ACTR3,P01100,P61158,IID,,,,
FOS,NFKBIB,P01100,Q15653,IID,,,,
FOS,BCL3,P01100,P20749,IID,,,,
FOS,HIPK2,P01100,Q9H2X6,IID,,,,
FOS,NR3C1,P01100,P04150,IID,,,,
FOS,E2F1,P01100,Q01094,IID,,,,
FOS,ZNF652,P01100,Q9Y2D9,IID,,,,
FOS,APLP1,P01100,P51693,IID,,,,
FOS,NR1H2,P01100,P55055,IID,,,,
FOS,JUN,P01100,P05412,IID,,,,
FOS,ERBB2,P01100,P04626,IID,,,,
FOS,FOXO3,P01100,O43524,IID,,,,
FOS,PHB,P01100,P35232,IID,,,,
FOS,IL18,P01100,Q14116,IID,,,,
FOS,PNP,P01100,P00491,IID,,,,
FOS,CLDN2,P01100,P57739,IID,,,,
FOS,PSEN2,P01100,P49810,IID,,,,
FOS,CXCL5,P01100,P42830,IID,,,,
FOS,ERCC3,P01100,P19447,IID,,,,
FOS,CSNK2A2,P01100,P19784,IID,,,,
FOS,CDH1,P01100,P12830,IID,,,,
FOS,MAPK11,P01100,Q15759,IID,,,,
FOS,HSPA4,P01100,P34932,IID,,,,
FOS,CEBPG,P01100,P53567,IID,,,,
FOS,SUMO4,P01100,Q6EEV6,IID,,,,
FOS,RPS17,P01100,P08708,IID,,,,
FOS,FAAP100,P01100,Q0VG06,IID,,,,
FOS,PTPN1,P01100,P18031,IID,,,,
FOS,FOXC1,P01100,Q12948,IID,,,,
FOS,SMARCD1,P01100,Q96GM5,IID,,,,
FOS,IL2RB,P01100,P14784,IID,,,,
FOS,DLG4,P01100,P78352,IID,,,,
FOS,IQGAP1,P01100,P46940,IID,,,,
FOS,PTPN13,P01100,Q12923,IID,,,,
FOS,RARA,P01100,P10276,IID,,,,
FOS,SLC4A10,P01100,Q6U841,IID,,,,
FOS,SRF,P01100,P11831,IID,,,,
FOS,REL,P01100,Q04864,IID,,,,
FOS,ESF1,P01100,Q9H501,IID,,,,
FOS,IRF7,P01100,Q92985,IID,,,,
FOS,SP1,P01100,P08047,IID,,,,
FOS,RUNX3,P01100,Q13761,IID,,,,
FOS,SDC2,P01100,P34741,IID,,,,
FOS,CSNK2A1,P01100,P68400,IID,,,,
FOS,ETV1,P01100,P50549,IID,,,,
FOS,LCK,P01100,P06239,IID,,,,
FOS,ING4,P01100,Q9UNL4,IID,,,,
FOS,TMSB10,P01100,P63313,IID,,,,
FOS,SMURF1,P01100,Q9HCE7,IID,,,,
FOS,ILK,P01100,Q13418,IID,,,,
FOS,CREB3,P01100,O43889,IID,,,,
FOS,MAFB,P01100,Q9Y5Q3,IID,,,,
FOS,EDF1,P01100,O60869,IID,,,,
FOS,TFF3,P01100,Q07654,IID,,,,
FOS,COPS7A,P01100,Q9UBW8,IID,,,,
FOS,CAMK2G,P01100,Q13555,IID,,,,
FOS,MAPK7,P01100,Q13164,IID,,,,
FOS,SKI,P01100,P12755,IID,,,,
FOS,KBTBD7,P01100,Q8WVZ9,IID,,,,
FOS,CREM,P01100,Q03060,IID,,,,
FOS,TSC22D3,P01100,Q99576,IID,,,,
FOS,NCOA1,P01100,Q15788,IID,,,,
FOS,IFNB1,P01100,P01574,IID,,,,
FOS,IL6,P01100,P05231,IID,,,,
FOS,FNBP1L,P01100,Q5T0N5,IID,,,,
FOS,NFATC1,P01100,O95644,IID,,,,
FOS,STAT2,P01100,P52630,IID,,,,
FOS,SNAI1,P01100,O95863,IID,,,,
FOS,C19orf57,P01100,Q0VDD7,IID,,,,
FOS,EEF2K,P01100,O00418,IID,,,,
FOS,TLN2,P01100,Q9Y4G6,IID,,,,
FOS,EEF1D,P01100,P29692,IID,,,,
FOS,CCL2,P01100,P13500,IID,,,,
FOS,RIT2,P01100,Q99578,IID,,,,
FOS,PARP1,P01100,P09874,IID,,,,
FOS,JUNB,P01100,P17275,IID,,,,
FOS,ZBTB16,P01100,Q05516,IID,,,,
FOS,GTF2F2,P01100,P13984,IID,,,,
FOS,PPARG,P01100,P37231,IID,,,,
FOS,RASA1,P01100,P20936,IID,,,,
FOS,LAS1L,P01100,Q9Y4W2,IID,,,,
FOS,CTBP1,P01100,Q13363,IID,,,,
FOS,HDAC2,P01100,Q92769,IID,,,,
FOS,-,P01100,#N/A,IID,,,,
FOS,FOSL2,P01100,P15408,IID,,,,
FOS,SMAD6,P01100,O43541,IID,,,,
FOS,LUZP4,P01100,Q9P127,IID,,,,
FOS,SMARCE1,P01100,Q969G3,IID,,,,
FOS,SMARCC2,P01100,Q8TAQ2,IID,,,,
FOS,LMO3,P01100,Q8TAP4,IID,,,,
FOS,LPAR3,P01100,Q9UBY5,IID,,,,
FOS,DDX5,P01100,P17844,IID,,,,
FOS,JUP,P01100,P14923,IID,,,,
FOS,VRK1,P01100,Q99986,IID,,,,
FOS,KAT6A,P01100,Q92794,IID,,,,
FOS,PSMC2,P01100,P35998,IID,,,,
FOS,TDG,P01100,Q13569,IID,,,,
FOS,ELK1,P01100,P19419,IID,,,,
FOS,GNAS,P01100,O95467,IID,,,,
FOS,ACTN1,P01100,P12814,IID,,,,
FOS,PKP2,P01100,Q99959,IID,,,,
FOS,VARS,P01100,P26640,IID,,,,
FOS,PPP5C,P01100,P53041,IID,,,,
FOS,HSP90B1,P01100,P14625,IID,,,,
FOS,NQO1,P01100,P15559,IID,,,,
FOS,EP300,P01100,Q09472,IID,,,,
FOS,ZNF622,P01100,Q969S3,IID,,,,
FOS,NELFB,P01100,Q8WX92,IID,,,,
FOS,TAF12,P01100,Q16514,IID,,,,
FOS,SREBF1,P01100,P36956,IID,,,,
FOS,SLC33A1,P01100,O00400,IID,,,,
FOS,STAT5A,P01100,P42229,IID,,,,
FOS,RBM6,P01100,P78332,IID,,,,
FOS,ESR2,P01100,Q92731,IID,,,,
FOS,CREBBP,P01100,Q92793,IID,,,,
FOS,PDPK1,P01100,O15530,IID,,,,
FOS,SRA1,P01100,Q9HD15,IID,,,,
FOS,VEZF1,P01100,Q14119,IID,,,,
FOS,TAF7,P01100,Q15545,IID,,,,
FOS,UBE2L3,P01100,P68036,IID,,,,
FOS,KDM2B,P01100,Q8NHM5,IID,,,,
FOS,DDX21,P01100,Q9NR30,IID,,,,
FOS,CEBPB,P01100,P17676,IID,,,,
FOS,HSPH1,P01100,Q92598,IID,,,,
FOS,FOSB,P01100,P53539,IID,,,,
FOS,IL2,P01100,P60568,IID,,,,
FOS,KHSRP,P01100,Q92945,IID,,,,
FOS,SOX9,P01100,P48436,IID,,,,
FOS,RELA,P01100,Q04206,IID,,,,
FOS,ARFGAP1,P01100,Q8N6T3,IID,,,,
FOS,ATF7,P01100,P17544,IID,,,,
FOS,STAT3,P01100,P40763,IID,,,,
FOS,GBP1,P01100,P32455,IID,,,,
FOS,BATF,P01100,Q16520,IID,,,,
FOS,MAPK12,P01100,P53778,IID,,,,
FOS,PPM1B,P01100,O75688,IID,,,,
FOS,BRCA1,P01100,P38398,IID,,,,
FOS,XBP1,P01100,P17861,IID,,,,
FOS,STUB1,P01100,Q9UNE7,IID,,,,
FOS,CHMP3,P01100,Q9Y3E7,IID,,,,
FOS,YWHAB,P01100,P31946,IID,,,,
FOS,ATF5,P01100,Q9Y2D1,IID,,,,
FOS,EP400,P01100,Q96L91,IID,,,,
FOS,SUV39H1,P01100,O43463,IID,,,,
FOS,MDM2,P01100,Q00987,IID,,,,
FOS,USP16,P01100,Q9Y5T5,IID,,,,
FOS,IER2,P01100,Q9BTL4,IID,,,,
FOS,AR,P01100,P10275,IID,,,,
FOS,NR4A1,P01100,P22736,IID,,,,
FOS,IFNGR1,P01100,P15260,IID,,,,
FOS,TAF3,P01100,Q5VWG9,IID,,,,
FOS,HIST1H4A,P01100,P62805,IID,,,,
FOS,TAF11,P01100,Q15544,IID,,,,
FOS,ATF4,P01100,P18848,IID,,,,
FOS,RRP12,P01100,Q5JTH9,IID,,,,
FOS,RPS25,P01100,P62851,IID,,,,
FOS,STAT1,P01100,P42224,IID,,,,
FOS,TUBB2B,P01100,Q9BVA1,IID,,,,
FOS,NFYB,P01100,P25208,IID,,,,
FOS,CUL1,P01100,Q13616,IID,,,,
FOS,XRCC5,P01100,P13010,IID,,,,
FOS,-,P01100,#N/A,IID,,,,
FOS,FBLN1,P01100,P23142,IID,,,,
FOS,PTEN,P01100,P60484,IID,,,,
FOS,SUPT6H,P01100,Q7KZ85,IID,,,,
FOS,CXCL8,P01100,P10145,IID,,,,
FOS,PPBP,P01100,P02775,IID,,,,
FOS,BCL2,P01100,P10415,IID,,,,
FOS,ELK4,P01100,P28324,IID,,,,
FOS,CHEK2,P01100,O96017,IID,,,,
FOS,TAF4B,P01100,Q92750,IID,,,,
FOS,NOS2,P01100,P35228,IID,,,,
FOS,STAT5B,P01100,P51692,IID,,,,
FOS,CYR61,P01100,O00622,IID,,,,
FOS,NKX2-1,P01100,P43699,IID,,,,
FOS,MAZ,P01100,P56270,IID,,,,
FOS,GSK3B,P01100,P49841,IID,,,,
FOS,DDIT3,P01100,P35638,IID,,,,
FOS,CUL2,P01100,Q13617,IID,,,,
FOS,MITF,P01100,O75030,IID,,,,
FOS,SIRT1,P01100,Q96EB6,IID,,,,
FUT2,ZDHHC17,Q10981,Q8IUH5,IID,,,,
FUT2,POLR3E,Q10981,Q9NVU0,IID,,,,
GPR35,CMTM3,Q9HC97,Q96MX0,IID,,,,
GPR35,ABHD14A,Q9HC97,Q9BUJ0,IID,,,,
GPR35,OR2V2,Q9HC97,Q96R30,IID,,,,
GPR35,OR5B3,Q9HC97,Q8NH48,IID,,,,
GPR35,OR2L2,Q9HC97,Q8NH16,IID,,,,
GPR35,TRHR,Q9HC97,P34981,IID,,,,
GPR35,OR6C70,Q9HC97,A6NIJ9,IID,,,,
GPR35,OR6B2,Q9HC97,Q6IFH4,IID,,,,
GPR35,SLC45A4,Q9HC97,Q5BKX6,IID,,,,
GPR35,YES1,Q9HC97,P07947,IID,,,,
GPR35,OR11G2,Q9HC97,Q8NGC1,IID,,,,
GPR35,GHITM,Q9HC97,Q9H3K2,IID,,,,
GPR35,OR6N2,Q9HC97,Q8NGY6,IID,,,,
GPR35,OR6C68,Q9HC97,A6NDL8,IID,,,,
GPR35,KDELR1,Q9HC97,P24390,IID,,,,
GPR35,S1PR1,Q9HC97,P21453,IID,,,,
GPR35,OR5P3,Q9HC97,Q8WZ94,IID,,,,
GPR35,OR10Z1,Q9HC97,Q8NGY1,IID,,,,
GPR35,OR11H4,Q9HC97,Q8NGC9,IID,,,,
GPR35,OR7E24,Q9HC97,Q6IFN5,IID,,,,
GPR35,OR4F3,Q9HC97,Q6IEY1,IID,,,,
GPR35,OR2M3,Q9HC97,Q8NG83,IID,,,,
GPR35,OR1J1,Q9HC97,Q8NGS3,IID,,,,
GPR35,VTI1B,Q9HC97,Q9UEU0,IID,,,,
GPR35,BNIP1,Q9HC97,Q12981,IID,,,,
GPR35,PPP1R3F,Q9HC97,Q6ZSY5,IID,,,,
GPR35,SYT11,Q9HC97,Q9BT88,IID,,,,
GPR35,OR14I1,Q9HC97,A6ND48,IID,,,,
GPR35,OR6C4,Q9HC97,Q8NGE1,IID,,,,
GPR35,OR13C8,Q9HC97,Q8NGS7,IID,,,,
GPR35,OR1L8,Q9HC97,Q8NGR8,IID,,,,
GPR35,GJC2,Q9HC97,Q5T442,IID,,,,
GPR35,NPC1,Q9HC97,O15118,IID,,,,
GPR35,VN1R1,Q9HC97,Q9GZP7,IID,,,,
GPR35,SYNGR2,Q9HC97,O43760,IID,,,,
GPR35,OR5F1,Q9HC97,O95221,IID,,,,
GPR35,OR51B4,Q9HC97,Q9Y5P0,IID,,,,
GPR35,P2RY6,Q9HC97,Q15077,IID,,,,
GPR35,KCNJ4,Q9HC97,P48050,IID,,,,
GPR35,OR4N5,Q9HC97,Q8IXE1,IID,,,,
GPR35,OR4C16,Q9HC97,Q8NGL9,IID,,,,
GPR35,OR4M2,Q9HC97,Q8NGB6,IID,,,,
GPR35,OR5H2,Q9HC97,Q8NGV7,IID,,,,
GPR35,ATPIF1,Q9HC97,#N/A,IID,,,,
GPR35,OR4L1,Q9HC97,Q8NH43,IID,,,,
GPR35,OR10G3,Q9HC97,Q8NGC4,IID,,,,
GPR35,OR9Q1,Q9HC97,Q8NGQ5,IID,,,,
GPR35,PDE6G,Q9HC97,P18545,IID,,,,
GPR35,FFAR1,Q9HC97,O14842,IID,,,,
GPR35,ACKR3,Q9HC97,P25106,IID,,,,
GPR35,OR10Q1,Q9HC97,Q8NGQ4,IID,,,,
GPR35,APH1A,Q9HC97,Q96BI3,IID,,,,
GPR35,OR3A1,Q9HC97,P47881,IID,,,,
GPR35,OR14A16,Q9HC97,Q8NHC5,IID,,,,
GPR35,OR10V1,Q9HC97,Q8NGI7,IID,,,,
GPR35,OR5AP2,Q9HC97,Q8NGF4,IID,,,,
GPR35,POTEE,Q9HC97,Q6S8J3,IID,,,,
GPR35,OR2T3,Q9HC97,Q8NH03,IID,,,,
GPR35,SPART,Q9HC97,Q8N0X7,IID,,,,
GPR35,ATP5B,Q9HC97,#N/A,IID,,,,
GPR35,OR6X1,Q9HC97,Q8NH79,IID,,,,
GPR35,SCARB1,Q9HC97,Q8WTV0,IID,,,,
GPR35,GPR35,Q9HC97,Q9HC97,IID,,,,
GPR35,TSPAN7,Q9HC97,P41732,IID,,,,
GPR35,AIG1,Q9HC97,Q9NVV5,IID,,,,
GPR35,TAS2R10,Q9HC97,Q9NYW0,IID,,,,
GPR35,OR4P4,Q9HC97,Q8NGL7,IID,,,,
GPR35,YIF1B,Q9HC97,Q5BJH7,IID,,,,
GPR35,MRGPRD,Q9HC97,Q8TDS7,IID,,,,
GPR35,OR51E2,Q9HC97,Q9H255,IID,,,,
GPR35,TAS2R8,Q9HC97,Q9NYW2,IID,,,,
GPR35,OR56A1,Q9HC97,Q8NGH5,IID,,,,
GPR35,OR1S1,Q9HC97,Q8NH92,IID,,,,
GPR35,OR4K14,Q9HC97,Q8NGD5,IID,,,,
GPR35,LSS,Q9HC97,P48449,IID,,,,
GPR35,OR8G1,Q9HC97,Q15617,IID,,,,
GPR35,OR6Y1,Q9HC97,Q8NGX8,IID,,,,
GPR35,OXGR1,Q9HC97,Q96P68,IID,,,,
GPR35,CXCR4,Q9HC97,P61073,IID,,,,
GPR35,THOP1,Q9HC97,P52888,IID,,,,
GPR35,OR5K3,Q9HC97,A6NET4,IID,,,,
GPR35,PTGER1,Q9HC97,P34995,IID,,,,
GPR35,GPR52,Q9HC97,Q9Y2T5,IID,,,,
GPR35,GPR137B,Q9HC97,O60478,IID,,,,
GPR35,ADCYAP1R1,Q9HC97,P41586,IID,,,,
GPR35,ADRA2C,Q9HC97,P18825,IID,,,,
GPR35,OR13F1,Q9HC97,Q8NGS4,IID,,,,
GPR35,OR52I2,Q9HC97,Q8NH67,IID,,,,
GPR35,OSTC,Q9HC97,Q9NRP0,IID,,,,
GPR35,OR4F6,Q9HC97,Q8NGB9,IID,,,,
GPR35,AUP1,Q9HC97,Q9Y679,IID,,,,
GPR35,NSDHL,Q9HC97,Q15738,IID,,,,
GPR35,OR8U9,Q9HC97,P0C7N5,IID,,,,
GPR35,OR51D1,Q9HC97,Q8NGF3,IID,,,,
GPR35,OR4N2,Q9HC97,Q8NGD1,IID,,,,
GPR35,ATP2C1,Q9HC97,P98194,IID,,,,
GPR35,CRHR1,Q9HC97,P34998,IID,,,,
GPR35,OR5A2,Q9HC97,Q8NGI9,IID,,,,
GPR35,P2RY8,Q9HC97,Q86VZ1,IID,,,,
GPR35,OR51L1,Q9HC97,Q8NGJ5,IID,,,,
GPR35,SLC15A4,Q9HC97,Q8N697,IID,,,,
GPR35,OR10H1,Q9HC97,Q9Y4A9,IID,,,,
GPR35,OR10P1,Q9HC97,Q8NGE3,IID,,,,
GPR35,MC5R,Q9HC97,P33032,IID,,,,
GPR35,SLC31A2,Q9HC97,O15432,IID,,,,
GPR35,GPR4,Q9HC97,P46093,IID,,,,
GPR35,RTN4,Q9HC97,Q9NQC3,IID,,,,
GPR35,OPN5,Q9HC97,Q6U736,IID,,,,
GPR35,OR4S1,Q9HC97,Q8NGB4,IID,,,,
GPR35,B4GALT2,Q9HC97,O60909,IID,,,,
GPR35,TMEM94,Q9HC97,Q12767,IID,,,,
GPR35,OR9G4,Q9HC97,Q8NGQ1,IID,,,,
GPR35,TAAR6,Q9HC97,Q96RI8,IID,,,,
GPR35,ADGRF5,Q9HC97,Q8IZF2,IID,,,,
GPR35,OR5AS1,Q9HC97,Q8N127,IID,,,,
GPR35,OR2AT4,Q9HC97,A6NND4,IID,,,,
GPR35,CALCRL,Q9HC97,Q16602,IID,,,,
GPR35,CH25H,Q9HC97,O95992,IID,,,,
GPR35,OXER1,Q9HC97,Q8TDS5,IID,,,,
GPR35,PLXDC1,Q9HC97,Q8IUK5,IID,,,,
GPR35,GPR150,Q9HC97,Q8NGU9,IID,,,,
GPR35,GNRHR,Q9HC97,P30968,IID,,,,
GPR35,ZFAND1,Q9HC97,Q8TCF1,IID,,,,
GPR35,OPN1SW,Q9HC97,P03999,IID,,,,
GPR35,OR7A10,Q9HC97,O76100,IID,,,,
GPR35,CRHR2,Q9HC97,Q13324,IID,,,,
GPR35,TBXA2R,Q9HC97,P21731,IID,,,,
GPR35,CD81,Q9HC97,P60033,IID,,,,
GPR35,P2RY10,Q9HC97,O00398,IID,,,,
GPR35,XCR1,Q9HC97,P46094,IID,,,,
GPR35,OR5T3,Q9HC97,Q8NGG3,IID,,,,
GPR35,OR5B2,Q9HC97,Q96R09,IID,,,,
GPR35,CCR9,Q9HC97,P51686,IID,,,,
GPR35,FLRT1,Q9HC97,Q9NZU1,IID,,,,
GPR35,TMEM161A,Q9HC97,Q9NX61,IID,,,,
GPR35,GPR161,Q9HC97,Q8N6U8,IID,,,,
GPR35,SLC2A1,Q9HC97,P11166,IID,,,,
GPR35,OR51Q1,Q9HC97,Q8NH59,IID,,,,
GPR35,PROKR1,Q9HC97,Q8TCW9,IID,,,,
GPR35,MAS1,Q9HC97,P04201,IID,,,,
GPR35,PLD3,Q9HC97,Q8IV08,IID,,,,
GPR35,CCKBR,Q9HC97,P32239,IID,,,,
GPR35,FTH1,Q9HC97,P02794,IID,,,,
GPR35,GNAO1,Q9HC97,P09471,IID,,,,
GPR35,OR4A4P,Q9HC97,Q8NGN8,IID,,,,
GPR35,OR4F4,Q9HC97,Q96R69,IID,,,,
GPR35,MVK,Q9HC97,Q03426,IID,,,,
GPR35,SLC9A7,Q9HC97,Q96T83,IID,,,,
GPR35,NPFFR1,Q9HC97,Q9GZQ6,IID,,,,
GPR35,CCR8,Q9HC97,P51685,IID,,,,
GPR35,B3GAT3,Q9HC97,O94766,IID,,,,
GPR35,OR51B5,Q9HC97,Q9H339,IID,,,,
GPR35,OR10J1,Q9HC97,P30954,IID,,,,
GPR35,SLC8A2,Q9HC97,Q9UPR5,IID,,,,
GPR35,OR6V1,Q9HC97,Q8N148,IID,,,,
GPR35,SLC37A1,Q9HC97,P57057,IID,,,,
GPR35,OR1N1,Q9HC97,Q8NGS0,IID,,,,
GPR35,RTN3,Q9HC97,O95197,IID,,,,
GPR35,GPR17,Q9HC97,Q13304,IID,,,,
GPR35,GPR174,Q9HC97,Q9BXC1,IID,,,,
GPR35,OR5T2,Q9HC97,Q8NGG2,IID,,,,
GPR35,OR6C6,Q9HC97,A6NF89,IID,,,,
GPR35,OR6F1,Q9HC97,Q8NGZ6,IID,,,,
GPR35,TAS2R9,Q9HC97,Q9NYW1,IID,,,,
GPR35,P2RY1,Q9HC97,P47900,IID,,,,
GPR35,OR7D4,Q9HC97,Q8NG98,IID,,,,
GPR35,OR2W3,Q9HC97,Q7Z3T1,IID,,,,
GPR35,MSMO1,Q9HC97,Q15800,IID,,,,
GPR35,ARVCF,Q9HC97,O00192,IID,,,,
GPR35,OR6C2,Q9HC97,Q9NZP2,IID,,,,
GPR35,VPS25,Q9HC97,Q9BRG1,IID,,,,
GPR35,GPR3,Q9HC97,P46089,IID,,,,
GPR35,AVPR2,Q9HC97,P30518,IID,,,,
GPR35,OR4F17,Q9HC97,Q8NGA8,IID,,,,
GPR35,ADGRB1,Q9HC97,O14514,IID,,,,
GPR35,OR2H1,Q9HC97,Q9GZK4,IID,,,,
GPR35,GPBAR1,Q9HC97,Q8TDU6,IID,,,,
GPR35,GPR15,Q9HC97,P49685,IID,,,,
GPR35,SDHD,Q9HC97,O14521,IID,,,,
GPR35,OR4D11,Q9HC97,Q8NGI4,IID,,,,
GPR35,OR4C13,Q9HC97,Q8NGP0,IID,,,,
GPR35,MCOLN1,Q9HC97,Q9GZU1,IID,,,,
GPR35,S1PR5,Q9HC97,Q9H228,IID,,,,
GPR35,CANX,Q9HC97,P27824,IID,,,,
GPR35,OR6C74,Q9HC97,A6NCV1,IID,,,,
GPR35,SLC6A7,Q9HC97,Q99884,IID,,,,
GPR35,PLLP,Q9HC97,Q9Y342,IID,,,,
GPR35,OR3A3,Q9HC97,P47888,IID,,,,
GPR35,OR5H1,Q9HC97,A6NKK0,IID,,,,
GPR35,SLC37A4,Q9HC97,O43826,IID,,,,
GPR35,OR10R2,Q9HC97,Q8NGX6,IID,,,,
GPR35,ERGIC3,Q9HC97,Q9Y282,IID,,,,
GPR35,OR52H1,Q9HC97,Q8NGJ2,IID,,,,
GPR35,TAS2R60,Q9HC97,P59551,IID,,,,
GPR35,OR5K2,Q9HC97,Q8NHB8,IID,,,,
GPR35,ACKR4,Q9HC97,Q9NPB9,IID,,,,
GPR35,PROKR2,Q9HC97,Q8NFJ6,IID,,,,
GPR35,OR5H6,Q9HC97,Q8NGV6,IID,,,,
GPR35,LGALS3,Q9HC97,P17931,IID,,,,
GPR35,CCR3,Q9HC97,P51677,IID,,,,
GPR35,OR8H1,Q9HC97,Q8NGG4,IID,,,,
GPR35,OR6B1,Q9HC97,O95007,IID,,,,
GPR35,OR4X2,Q9HC97,Q8NGF9,IID,,,,
GPR35,OR2AG1,Q9HC97,Q9H205,IID,,,,
GPR35,ATP1A1,Q9HC97,P05023,IID,,,,
